iteration	vector	severity	owasp	stride	confidence	location	description	status	resolution	commit
0	baseline	-	-	-	-	-	1571 tests passed, 28 skipped	-	-	-
1	broken-access-control	Critical	A01	EoP	Confirmed	bazi_engine/app.py:271-279	Legacy-Routes komplett ohne Auth — /calculate/*, /transit/*, /experience/* unauthentifiziert	resolved	Added _protected=[Depends(require_api_key)] to all legacy routers in app.py	fix(security): enforce API key auth on legacy routes (Finding #1 — Critical)
2	missing-rate-limits	High	A05	DoS	Confirmed	bazi_engine/routers/bazi.py,western.py,fusion.py,validate.py	Kein @limiter.limit() auf Compute-Endpoints — unbegrenzte CPU-Auslastung möglich	resolved	Added @limiter.limit("30/minute") to bazi/western/fusion, @limiter.limit("60/minute") to validate; added reset_rate_limiter autouse fixture to conftest.py	fix(security): add rate limiting to compute endpoints (Finding #2 — High)
3	dev-mode-fallback	High	A05	EoP	Confirmed	bazi_engine/auth.py:103-116	Auth disabled wenn FUFIRE_API_KEYS leer — fly.toml setzt kein FUFIRE_REQUIRE_API_KEYS	resolved	Added FUFIRE_REQUIRE_API_KEYS=true and WEBHOOK_HMAC_ONLY=true to fly.toml [env]	fix(security): set FUFIRE_REQUIRE_API_KEYS=true in fly.toml (Finding #3 — High)
4	tier-from-key-format	Medium	A07	Spoofing	Confirmed	bazi_engine/auth.py:52-65	Tier nur aus Key-Präfix, kein Server-Side-Lookup, kein Revocation	resolved	Added FUFIRE_KEY_TIER_OVERRIDES env var (comma-separated key:tier pairs); _load_tier_overrides() checked before prefix parsing, allowing operator correction without DB	feat(security): add FUFIRE_KEY_TIER_OVERRIDES for server-side tier correction (Finding #4)
5	webhook-double-exposure	Low	A05	Info Disc	Confirmed	bazi_engine/app.py:273,297	Webhook doppelt exponiert: /api/webhooks/chart + /internal/api/webhooks/chart	resolved	Removed duplicate app.include_router(webhooks.router) without /internal prefix; only /internal/api/webhooks/chart remains	fix(security): remove duplicate /api/webhooks/chart exposure (Finding #5 — Low)
6	phantom-ratelimit-headers	Medium	A09	Repudiation	Confirmed	bazi_engine/middleware.py:37-40	X-RateLimit-Remaining zeigt immer Vollquota — täuscht B2B-Clients	resolved	Removed setdefault fallback for X-RateLimit-Remaining from middleware; absent header is honest. X-RateLimit-Limit still set from tier info. slowapi writes Remaining on @limiter.limit() routes once endpoints expose response: Response param	fix(security): remove phantom X-RateLimit-Remaining fallback from middleware (Finding #6)
7	exception-detail-leakage	Low	A04	Info Disc	Confirmed	bazi_engine/routers/webhooks.py:123,136	Rohe Python-Exceptions in 400-Responses (f"Invalid request: {e}")	resolved	Replaced all f-string exception details with structured {error, message, detail:{}} envelope	fix(security): sanitize webhook error responses (Findings #7, #15 — Low)
8	missing-cors	Medium	A05	Spoofing	Likely	bazi_engine/app.py	Kein CORSMiddleware — Browser-Direct-Calls würden blockiert	resolved	Added CORSMiddleware with configurable CORS_ALLOWED_ORIGINS env var (defaults: bazodiac.space + localhost dev ports)	fix(security): add CORSMiddleware with configurable origins (Finding #8 — Medium)
9	missing-hsts	Low	A05	Tampering	Confirmed	bazi_engine/middleware.py:44-48	Strict-Transport-Security Header fehlt	resolved	Added Strict-Transport-Security: max-age=31536000; includeSubDomains via setdefault in middleware.py	fix(security): add HSTS header to middleware (Finding #9 — Low)
10	webhook-auth-degradation	Medium	A07	Spoofing	Confirmed	bazi_engine/services/auth.py:67-87	HMAC-Replay-Schutz durch Method 2/3 (simple key/bearer) vollständig unterlaufen	resolved	Added hmac_only: bool=False param; when True, skips Method 2/3 fallbacks; WEBHOOK_HMAC_ONLY=true set in fly.toml	fix(security): add hmac_only mode for webhook auth (Finding #10 — Medium)
11	key-entropy	Medium	A02	Spoofing	Possible	bazi_engine/auth.py:47-49	Kein Key-Generierungsskript, Entropie des Random-Parts unbekannt	resolved	Added scripts/generate_api_key.py using secrets.token_hex(16) — 128-bit entropy, ff_<tier>_<32-hex> format	feat(security): add API key generation script with 128-bit entropy (Finding #11 — Medium)
12	missing-auth-logging	Medium	A09	Repudiation	Confirmed	bazi_engine/auth.py,services/auth.py	Keine Audit-Logs für Auth-Events (401, dev-mode, webhook-failures)	resolved	Added _log.warning() for dev-mode pass-through, 401 events in auth.py; webhook auth failures in services/auth.py	fix(security): add audit logging for auth events (Finding #12 — Medium)
13	sync-geocoding	Medium	A04	DoS	Confirmed	bazi_engine/services/geocoding.py:43	Sync urlopen im async Context, kein Geocoding-Cache	resolved	Rewrote geocode_place() to async def using httpx.AsyncClient with 5s timeout; updated webhooks.py to await	fix(security): convert geocoding to async httpx (Finding #13 — Medium)
14	lru-cache-no-revoke	Low	A07	EoP	Confirmed	bazi_engine/auth.py:70	lru_cache auf _load_keys() — Key-Revocation erfordert Prozess-Neustart	resolved	Added docstring documenting cache_clear() revocation pattern and Fly redeploy as standard rotation path	docs(security): document lru_cache revocation behavior (Finding #14 — Low)
15	secret-name-leak	Low	A04	Info Disc	Confirmed	bazi_engine/routers/webhooks.py:106	500-Error nennt Env-Var-Name ELEVENLABS_TOOL_SECRET	resolved	Changed 500 to 503 with structured error envelope {error: service_unavailable} — env-var name no longer leaked	fix(security): sanitize webhook error responses (Findings #7, #15 — Low)
